neuer_name,pfad_im_spiel,beschreibung,original_datei
17_helpdesk-schalter.webp,/images/events/17_helpdesk-schalter.webp,"A dark noir editorial vector illustration of a tense late-afternoon moment inside a German municipal utility office helpdesk, with an older clerk behind a diagonal counter and a lone customer waiting, rendered in flat shapes with hard-edged shadows and a single phosphor-green accent.",0017_4_high-level-description-a-dark-noir-edito_bJrNe0NpUA-4k0Xa3dwl7Q_jIUbOZ3xTZqAwy5cWoC0aQ.png
18_verlassener-besprechungsraum-projektor.webp,/images/events/18_verlassener-besprechungsraum-projektor.webp,"A dark noir editorial vector illustration of an abandoned late-night municipal meeting room in a German utility office, with a long conference table cutting a strong diagonal toward a lit doorway, the projector still running, and phosphor-green monitor glow as the only accent.",0018_4_high-level-description-a-dark-noir-edito_z4G_7mYEV9K9I2HA77Kjbw_zoLyLzkRRi-0PhsYpCD6yA.png
19_it-buero-drei-arbeitsplaetze.webp,/images/events/19_it-buero-drei-arbeitsplaetze.webp,"A flat vector illustration of a small-town German municipal IT office after hours on a rainy evening, three grey desks with phosphor-green monitors in a row, a dying plant, coffee mugs, and warm corridor light spilling from the right, rendered deadpan with cinematic tension.",0019_2_high-level-description-a-flat-vector-ill_ttlYzBc3XwWkH1NycxO-Gw_jy1t0LPPQRmT3u2wFjtFTQ.png
20_serverraum-kritis-warnschild.webp,/images/events/20_serverraum-kritis-warnschild.webp,"A dark noir editorial vector illustration of a cramped German municipal utility server room in the 2020s, with two aging server racks glowing phosphor-green, a dripping wall AC unit, a KRITIS warning door, and slatted warm light cutting through rain-streaked blinds on the right.",0020_3_high-level-description-a-dark-noir-edito_jXpCR7iOXZObiY8MJJOUTg_Th3Sn2QmTLuwtdJns4nRVg.png
21_solutions-engineer-am-arbeitsplatz.webp,/images/events/21_solutions-engineer-am-arbeitsplatz.webp,"A dark noir editorial vector illustration of a tired German municipal utility office at late evening, where a solutions engineer leans against his desk lit by phosphor-green monitor glow while an older colleague works nearby, with rain-streaked blinds and a warm-lit doorway in the deep background.",0021_4_high-level-description-a-dark-noir-edito_6IShT72XVWmFIip_04nRVA_8UubA7a3QhSnrq1WqjuQVA.png
22_cloud365-verkaufsgespraech.webp,/images/events/22_cloud365-verkaufsgespraech.webp,"A dark noir editorial vector illustration of a tense late-afternoon sales pitch inside a cramped German municipal utility office, with a Cloud365 rep leaning eagerly across a cluttered desk toward a stiff bureaucrat, lit by phosphor-green laptop glow and hard amber blind-slatted bars.",0022_1_high-level-description-a-dark-noir-edito__9JWS8r5VuyZTu_0QGE69Q_CsZue1X0Rr2DKS9UYsoGpw_cover.png
23_telekom-techniker-flur.webp,/images/events/23_telekom-techniker-flur.webp,"A dark noir editorial vector illustration of a Telekom field technician pausing in a German municipal utility office corridor in late afternoon, framed by an open doorway spilling warm light on the left and a rain-streaked window on the right, with phosphor-green accents from a monitor and LED panel.",0023_4_high-level-description-a-dark-noir-edito_i6dSu3zkU_WMslXjzyOQdw_Z-qPSeKKQhS4sDX_bRNOkw.png
24_sachbearbeiter-cubicle.webp,/images/events/24_sachbearbeiter-cubicle.webp,"A flat vector noir illustration of a man in his forties seated at a cluttered desk inside a German municipal utility office cubicle, lit by phosphor-green monitor glow and pale warm blind-light bars on a rainy afternoon.",0024_3_high-level-description-a-flat-vector-noi_8pzcxfvlVWqTb0XsbYVuVA_Qcs18M76RseNAziChTxs8w.png
25_vermisster-mitarbeiter-pinnwand.webp,/images/events/25_vermisster-mitarbeiter-pinnwand.webp,"A noir editorial vector illustration of a vanished municipal employee's aged staff-ID photo pinned to a cork case board, the portrait rendered in flat shapes with hard-edged shadows, a phosphor-green screen glow raking the upper-left and warm doorway light spilling from the lower-right.",0025_4_high-level-description-a-noir-editorial-_bBBlmt58XOyR_UibtAf4nA_wAp17WKLQaaAl-Up7Dlykg.png
26_service-techniker-betritt-buero.webp,/images/events/26_service-techniker-betritt-buero.webp,"A flat vector noir illustration of a German municipal utility office on a rainy afternoon, with an external service tech mid-stride through the doorway while a seated worker hunches over a phosphor-green monitor and a second worker recedes behind a glass partition.",0026_2_high-level-description-a-flat-vector-noi_ji9sFkkGWHe_vY7puFBs2g_FOJjTTHPQ9ucKen-CjJEYA.png
27_pausenraum-kaffeemaschine.webp,/images/events/27_pausenraum-kaffeemaschine.webp,"A flat vector noir illustration of three men in a German municipal utility office breakroom on a rainy morning, the older man laughing hard while two quieter colleagues flank him beside a coffee machine, rendered in near-monochrome charcoal with a single phosphor-green LED accent.",0027_1_high-level-description-a-flat-vector-noi_yLEoNjYOXKusiOKaWF9Jaw_NFPc64CWQx6dguK15qtRIg_cover.png
28_stau-am-drucker.webp,/images/events/28_stau-am-drucker.webp,"A dark noir editorial vector illustration of a tense late-afternoon moment inside a German municipal utility office, where a woman in her mid-40s grimaces at a jammed printer as a deadline looms, rendered in flat shapes with hard-edged shadows and a near-monochrome palette accented by phosphor-green monitor glow and pale warm window light.",0028_4_high-level-description-a-dark-noir-edito_rRTxvId1Vsag9ilhOqjcSw_SuDPseqTQ7W6dRxfFs5ngQ.png
29_kaemmerer-budgetordner-cover.webp,/images/events/29_kaemmerer-budgetordner-cover.webp,"A dark noir editorial vector illustration of a gaunt German municipal treasurer clutching a budget folder like a shield in his rain-streaked office, lit by cold phosphor-green monitor glow and warm corridor light bleeding through an open doorway.",0029_1_high-level-description-a-dark-noir-edito_hf_i5--5XH2lG1WeVtCzQQ_l-9UlbFiRHyXPSQPIZt3Rg_cover.png
29_kaemmerer-budgetordner.webp,/images/events/29_kaemmerer-budgetordner.webp,"A dark noir editorial vector illustration of a gaunt German municipal treasurer clutching a budget folder like a shield inside a rain-streaked utility office, his face split between phosphor-green monitor glow and warm amber light from venetian blinds.",0029_4_high-level-description-a-dark-noir-edito_obozHr1JVkCVmB9mQ4ks7g_l-9UlbFiRHyXPSQPIZt3Rg.png
30_geschaeftsfrau-glaswand-cover.webp,/images/events/30_geschaeftsfrau-glaswand-cover.webp,"A dark noir editorial vector illustration of a German municipal utility office in late afternoon, with a businesswoman in a charcoal blazer standing beside a smoked-glass wall, phosphor-green monitor glow on the left and hard warm light bands from a rain-streaked window on the right.",0030_1_high-level-description-a-dark-noir-edito_yBk9FkNkUbGxGcxzbzn-1w_rUEd0F9hT9q4Qne3KVPwhQ_cover.png
30_geschaeftsfrau-glaswand.webp,/images/events/30_geschaeftsfrau-glaswand.webp,"A flat vector editorial illustration of a German businesswoman in a charcoal blazer standing in a municipal utility office on a rainy late afternoon, framed off-center against a smoked-glass partition with phosphor-green monitor glow and hard cream light bands from half-drawn blinds.",0030_3_high-level-description-a-flat-vector-edi_Yf5OZPkcWr2sVz083HWFWg_rUEd0F9hT9q4Qne3KVPwhQ.png
31_bert-betriebsleiter-nachtschicht.webp,/images/events/31_bert-betriebsleiter-nachtschicht.webp,"A dark noir editorial vector illustration of Bert, a mid-50s German waterworks operations head, working alone at his desk late at night under phosphor-green monitor glow, with a warm-lit doorway and rainy window framing the scene.",0031_1_high-level-description-a-dark-noir-edito_ADxlcN9EXbem3hhgUrpaeA_6keLRXg8SauIuV8WRX8F6w_cover.png
